PWSID,PWS_NAME,CONTACT_NAME,TITLE,BUSINESS_PHONE,LOCATION_ADDRESS,POPULATION,TYPE,AREA,OWNERSHIP,SOURCE,CONNECTIONS,WELLS,PLANTS,INTAKES,INTERTIES,COUNTY
CA1900045   ,1000 TRAILS / SOLEDAD CANYON PRESERVE,CATHY FIORE, ,,,182,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,200,3,2,0,0,Los Angeles
CA2800014   ,11:11,AURELIEN ROULIN,OWNER,310-614-3493   ,,25,Non-Community (Transient),Other Area                    ,Private,Groundwater,1,1,1,0,0,Napa
CA4000725   ,141 SUBURBAN ROAD WATER SUPPLY,HEATHER  WILDHARBER, ,805-544-4300   , SAN LUIS OBISPO CA 93401,25,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,1,1,0,0,0,San Luis Obispo
CA4000717   ,200 SUBURBAN ROAD WATER SUPPLY,HEATHER  WILDHARBER, ,, SAN LUIS OBISPO CA 93401,25,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,1,1,0,0,0,San Luis Obispo
CA1909015   ,21ST CENTURY HOLINESS TABERNACLE CHURCH,ANGELA MORALES, ,,13136 SIERRA HIGHWAYAGUA DULCE CA 91390,110,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,1,1,1,0,0,Los Angeles
CA1700725   ,3 BROTHERS TRAVEL PLAZA,MOHAMMED HUSSAIN, ,707-275-8026   ,775 WEST HIGHWAY 20UPPER LAKE CA 95485,25,Non-Community (Transient),Restaurant                    ,Private,Groundwater,2,1,1,0,0,Lake
CA2702790   ,3-WAY FARMS WS-PENDING**CLOSED**,,,, ROYAL OAKS CA 95076,22,Non-Community (Transient),Residential Area              ,Private,Unknown,1,0,0,0,0,Monterey
CA0901281   ,30 MILESTONE TRACT #1,JACK  LAW,TREASURER,, POLLOCK PINES CA 95726,30,Non-Public,Other Residential Area        ,Private,Surface Water,14,0,0,1,0,El Dorado
CA0901282   ,30 MILESTONE TRACT #2,JACK  LAW,TREASURER,, POLLOCK PINES CA 95726,20,Non-Public,Other Residential Area        ,Private,Unknown,12,0,0,0,0,El Dorado
CA3500557   ,33RD DISTRICT AGRICULTURAL ASSOCIATION,DONNETTE CARTER,C. E. O.,831-628-3421   ,"9000 AIRLINE HWY, TRES PINOS 95075, HOLLISTER CA 95024",9000,Non-Community (Transient),Recreation Area               ,State Government,Groundwater,23,2,0,0,0,San Benito
CA2400300   ,4 STOP DELI-MARKET,YESENIA VARGAS,OWNER,,8979 E. LE GRAND RD.LE GRAND CA 95333,25,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,1,1,0,0,0,Merced
CA0900616   ,47 MILESTONE/ASPEN CREEK TRACT,CHUCK  INSKEEP,PRESIDENT,619-465-3349   , TWIN BRIDGES CA 95735,0,Non-Public,Residential Area              ,Federal,Unknown,12,0,0,0,0,El Dorado
CA5500120   ,49ER TRAILER RANCH,BRUCE MEISSNER,MANAGER,209-532-4978   ,"49ER TRAILER RANCH, COLUMBIA CA 95310",148,Community,Mobile Home Park              ,Private,Groundwater,80,1,0,0,1,Tuolumne
CA5000082   ,4N MOBILEHOME PARK,WALLACE RYBURN, ,925-766-8109   , OAKDALE CA 95361,65,Community,Mobile Home Park              ,Private,Groundwater,31,1,0,0,0,Stanislaus
CA5000573   ,5033 PENTECOST,SIMILE STAFFORD, ,209-571-7235   , MODESTO CA 95356,302,Non-Transient Non-Community,Other Transient Area          ,Private,Groundwater,2,1,0,0,0,Stanislaus
CA1502744   ,60TH STREET ASSOC. WATER SYSTEM,CATHY MONTANYO,SECRETARY,661-204-3792   ,60TH STREET & MARGARITHAROSAMOND CA 93560,44,Community,Residential Area              ,Private,Groundwater,9,1,0,0,0,Kern
CA3400358   ,"6200 FRANKLIN, LLC  (SWS)",,,, SACRAMENTO CA 95824,800,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,4,5,1,0,0,Sacramento
CA3400204   ,7042 FOLSOM LLC WATER SYSTEM,JOHNNY JAVANIFARD, ,916-224-3528   , SACRAMENTO CA 95826,50,Non-Community (Transient),Restaurant                    ,Private,Groundwater,1,1,0,0,0,Sacramento
CA3103294   ,8200 WATER SYSTEM,TOM KELLY, ,, OLYMPIC VALLEY CA 96146,5025,Non-Transient Non-Community,Recreation Area               ,Private,Groundwater,4,4,0,0,0,Placer
