"Basin
Subbasin ID",Basin Name,Subbasin Name,Hydrologic Name,Basin - Subbasin Area (acre),Total Rank Scoring,Final Priority,Population (2010),Final Population Rank,"Population Growth
%",Final Population Growth Rank,Total Wells,Final Well Rank (discounted),Total Public Supply Wells,Final Public Supply Well Rank,"Groundwater Volume
(Ac-Ft)",% of total water supply supplied by groundwater,% of total water supply supplied by surface water,Final groundwater volume rank,Final % of total water supply supplied by groundwater rank,Final groundwater Reliance rank,Irrigated Acreage,Final Irrigated Acreage Rank,Impact Ranks,Impact Comments,Other Information Rank,Other Information Comments,Additional Comments
1-1,SMITH RIVER PLAIN,,North Coast,"40,446",18.3,Medium,"24,588",2,111%,2,"1,462",3.75,34,4,"10,000",85%,15%,2,5,3.5,"8,383",3,,,,,GW use based on B118-03 data. Stable GW levels
1-10,EEL RIVER VALLEY,,North Coast,"73,701",16.3,Medium,"21,558",1,112%,2,763,2.25,23,2,"55,000",77%,23%,4,4,4,"33,309",4,,,1,"Shallow basin with strong SW-GW interaction and fishery issues. Useable GW basin storage is estimated at 100,000 af and annual use is estimated at over one-half the total storage.",GW Use based on B118-03 and DWR Land Use 2012 data
1-11,COVELO ROUND VALLEY,,North Coast,"16,396",0.0,Very Low,"1,968",1,160%,5,305,3,6,2,918,4%,96%,1,1,0,"8,561",4,,,,,
1-12,LAYTONVILLE VALLEY,,North Coast,"5,020",0.0,Very Low,"1,167",1,94%,0,170,3.75,3,3,415,10%,90%,1,1,0,"1,329",3,,,,,GW Use based on B118-03 data
1-13,LITTLE LAKE VALLEY,,North Coast,"10,018",0.0,Very Low,"5,993",2,107%,1,629,3.75,0,0,"2,000",1%,99%,2,1,0,"4,190",4,,,,,GW Use based on B118-03 data
1-14,LOWER KLAMATH RIVER VALLEY,,North Coast,"7,026",0.0,Very Low,806,1,158%,0,48,1.5,18,5,450,22%,78%,1,2,0,428,2,,,,,GW Use based on B118-03 data
1-15,HAPPY CAMP TOWN AREA,,North Coast,"2,771",0.0,Very Low,759,1,247%,0,30,2.25,0,0,450,40%,60%,2,3,0,1,1,,,,,GW Use based on B118-03 data
1-16,SEIAD VALLEY,,North Coast,"2,243",0.0,Very Low,132,1,158%,0,7,0.75,2,4,21,8%,92%,0,1,0,50,1,,,,,
1-17,BRAY TOWN AREA,,North Coast,"8,027",0.0,Very Low,0,0,0%,0,3,0.75,0,0,6,5%,95%,0,1,0,"1,281",3,,,,,GW Use based on B118-03 data
1-18,RED ROCK VALLEY,,North Coast,"8,996",11.5,Low,23,0,213%,0,30,1.5,0,0,"14,109",90%,10%,5,5,5,"5,355",5,,,,,
1-19,ANDERSON VALLEY,,North Coast,"4,969",0.0,Very Low,"1,297",1,157%,5,393,3.75,8,5,225,20%,80%,1,1,0,"1,094",3,,,,,
1-2.01,KLAMATH RIVER VALLEY,TULELAKE,North Coast,"85,934",17.3,Medium,"2,261",1,102%,0,164,0.75,5,1,"75,000",29%,71%,5,2,3.5,"56,139",5,4,Declining GW levels in lower aquifer. Local GW Quality issues. On-going high volume of GW being extracted associated with surface water cutbacks from Klamath Project and GW transfers associated with Klamath Basin Agreement.,2,Interstate GW transfer issue. Strong SW-GW interaction and fisheries issues. Potential intra- basin issues associated with increased annual extraction.,GW Use based on Klamath Basin GW Transfers
1-2.02,KLAMATH RIVER VALLEY,LOWER KLAMATH,North Coast,"75,333",7.8,Low,41,0,244%,0,17,0.75,0,0,"21,424",51%,49%,3,3,3,"18,926",3,1,GW Quality issues in refuge area. High temp and high TDS for deep wells.,,,
1-20,GARCIA RIVER VALLEY,,North Coast,"2,242",0.0,Very Low,119,1,100%,0,21,2.25,0,0,302,17%,83%,2,1,0,588,3,,,,,B118-03 reports sea water intrusion may be a problem due to connection to Pacific Ocean
1-21,FORT BRAGG TERRACE AREA,,North Coast,"24,085",0.0,Very Low,"12,517",2,100%,1,"1,997",3.75,62,5,447,17%,83%,1,1,0,"1,240",2,1,The terrace deposits between Ten Mile River and Laguna Point and Alder Creek and Point Arena are susceptible to seawater intrusion. (B-118).,,,
1-22,FAIRCHILD SWAMP VALLEY,,North Coast,"3,278",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
1-25,PRAIRIE CREEK AREA,,North Coast,"20,013",0.0,Very Low,4,0,50%,0,4,0.75,0,0,2,100%,0%,1,5,0,0,0,,,,,
1-26,REDWOOD CREEK AREA,,North Coast,"1,996",0.0,Very Low,234,1,93%,0,9,1.5,3,4,739,88%,12%,3,5,0,676,4,,,,,
1-27,BIG LAGOON AREA,,North Coast,"13,343",0.0,Very Low,"2,465",1,119%,3,138,2.25,18,4,313,100%,0%,0,5,0,6,1,,,,,
1-28,MATTOLE RIVER VALLEY,,North Coast,"3,150",0.0,Very Low,72,1,103%,0,8,0.75,0,0,150,50%,50%,1,3,0,0,0,,,,,GW Use based on B118-03 data
1-29,HONEYDEW TOWN AREA,,North Coast,"2,369",0.0,Very Low,19,0,89%,0,3,0.75,0,0,1,0%,100%,0,0,0,0,0,,,,,
1-3,BUTTE VALLEY,,North Coast,"79,689",15.5,Medium,"1,464",1,106%,0,417,1.5,6,1,"72,403",97%,3%,5,5,5,"29,324",4,2,Some high TDS wells. Declining GW levels over the last 5-years and increases agricultural acreage.,1,"Strong SW-GW interaction and reliance of GW for
Meiss Lake wildlife area.",
1-30,PEPPERWOOD TOWN AREA,,North Coast,"6,288",0.0,Very Low,315,1,110%,0,15,0.75,0,0,"1,000",66%,34%,2,4,0,"1,010",3,,,,,GW Use based on B118-03 data
1-31,WEOTT TOWN AREA,,North Coast,"3,653",0.0,Very Low,364,1,135%,0,11,0.75,3,4,135,53%,47%,1,3,0,154,2,,,,,
1-32,GARBERVILLE TOWN AREA,,North Coast,"2,112",0.0,Very Low,"1,391",2,114%,2,77,3.75,1,3,117,62%,38%,1,4,0,20,1,,,,,
