"","kml_key","pwsid","pwsname","created","owner","edited","editor","src_key","src_detail","stat_key","verifier","verify_dt","start_dt","end_dt","deriv_from","current","population","connection","locadd","locstreet","loccity","loczip","locstate","county","phone","pws_class","p_m_status"
"0",691,"4510013","SHASTA C.S.D.","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE downloaded from CaSIL Federal (?) Water Districts (2009) and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","2320","708","P.O. BOX 2520","10711 French Alley","SHASTA","96087","CA","SHASTA","999-999-9999","C","A"
"1",368,"2300514","ELK COUNTY WATER DISTRICT","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE downloaded from CaSIL Private Water Districts (2009) and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","244","104","7001 S. HIGHWAY 1",NA,"ELK","95432","CA","MENDOCINO","999-999-9999","C","A"
"2",1143,"2701825","GLEN OAKS WS #01","2011-09-04T11:50:34.973",123,"2011-09-04T11:50:59.877",123,2,"Batch import from http://www.ehib.org/tools/_69/_123/monterey/LPA_Service_Area_Monterey_County.shp.",2,NA,NA,NA,NA,NA,"1","50","1","HWY 1",NA,"BIG SUR","93920","CA","MONTEREY","999-999-9999","N","A"
"3",2384,"1400109","Sierra North Community Service District","2012-10-31T13:55:09.350",3750,"2012-12-05T14:03:36.433",3750,1,"Created from user-digitized polygon.",2,3750,"2012-12-05T14:03:33.813",NA,NA,NA,"1","28","16",NA,"North St.","Bishop","93514","CA","INYO","999-999-9999","C","A"
"4",1791,"1700596","LAKEVIEW HAVEN RESORT","2011-12-29T14:12:46.750",3650,"2011-12-29T14:12:47.603",3650,1,"Uploaded LakeviewHavenResort_1700596.kml_drawn_GE_ICE/MF",0,NA,NA,NA,NA,NA,"0","140","40","5178 W. HWY 20",NA,"UPPER LAKE","95485","CA","LAKE","999-999-9999","C","A"
"5",1064,"2700686","GARLEN COURT WS","2011-09-04T11:49:49.987",123,"2011-09-04T11:50:14.880",123,2,"Batch import from http://www.ehib.org/tools/_69/_123/monterey/LPA_Service_Area_Monterey_County.shp.",2,NA,NA,NA,NA,NA,"1","69","23","GARLEN LN","SAN MIGUEL CYN RD","SALINAS","93907","CA","MONTEREY","999-999-9999","C","A"
"6",1813,"1900616","THE RIVER COMMUNITY","2012-01-10T15:26:56.100",3650,"2012-01-10T15:26:57.013",3650,1,"Uploaded TheRiverCommunity_1900616.kml_drawn_GE_ICE/MF_updated_address_23701EastForkRd_AzusaCA_91702-1477",0,NA,NA,NA,NA,NA,"0","35","9","Social Model Recovery System, Inc","23701 EAST FORK ROAD","AZUSA","91702","CA","LOS ANGELES","999-999-9999","C","A"
"7",1413,"0800542","CRESCENT BEACH MOTEL","2011-09-29T12:50:00.960",3650,"2011-09-29T12:49:59.863",3650,1,"Uploaded CrescentBeachMotel_800542.kml_drawn_GE_ICE/MF",0,NA,NA,NA,NA,NA,"0","70","14","1455 HWY.101 SOUTH",NA,"CRESCENT CITY","95531","CA","DEL NORTE","999-999-9999","N","A"
"8",2462,"5602117","STRICKLAND ACRES","2012-12-17T14:49:23.333",6064,"2012-12-17T14:54:15.193",6064,1,"Created from user-digitized polygon.",2,NA,NA,NA,NA,NA,"1","500","130","4908 STRICKLAND DR","4908 STRICKLAND DR","OXNARD","93030","CA","VENTURA","999-999-9999","C","A"
"9",1142,"2701820","CORDA RD WS","2011-09-04T11:50:34.700",123,"2011-09-04T11:50:59.603",123,2,"Batch import from http://www.ehib.org/tools/_69/_123/monterey/LPA_Service_Area_Monterey_County.shp.",2,NA,NA,NA,NA,NA,"1","60","19","CORDA RD","ALTA ST","GONZALES","93926","CA","MONTEREY","999-999-9999","C","A"
