"","OBJECTID","PWSID","POPSV_R","PWSName","BoundarySo","WaterUsed","coords.x1","coords.x2","optional"
"1",1,"0202503",50,"WOODFORDS MUTUAL WATER COMPANY","Approx","Ground",19483.4373000003,75846.6318999995,TRUE
"2",2,"0400013",100,"MERRY MOUNTAIN MUTUAL","Approx","Ground",-98364.3462000005,168934.5986,TRUE
"3",3,"1000058",45,"MUSICK CREEK TRACT ASSOCIATION","Approx","Ground",60950.0212000012,-102410.5626,TRUE
"4",4,"1000072",210,"SHAVER LAKE POINT #2","Approx","Ground",53632.8834000006,-95054.0800999999,TRUE
"5",5,"1000546",180,"FCSA #49/ FIVE POINTS","Approx","Surface",-11662.5887000002,-181517.266100001,TRUE
"6",6,"1500393",188,"RAINBIRD VALLEY MUTUAL WATER COMPANY","Approx","Ground",160705.2894,-265403.5506,TRUE
"7",7,"1500404",42,"PINEBROOK COMMUNITY WATER WELL","Approx","Ground",182665.763799999,-192051.206700001,TRUE
"8",8,"1500424",190,"LANDS OF PROMISE MUTUAL WATER ASSOCIATIO","Approx","Ground",159563.483100001,-346118.6239,TRUE
"9",9,"1500458",25,"R.S. MUTUAL WATER COMPANY","Approx","Ground",138380.442000002,-268213.669,TRUE
"10",10,"1500485",49,"ANTELOPE VALLEY MOBILE ESTATES","Approx","Ground",165769.354800001,-352454.2913,TRUE
"11",11,"1500493",200,"EL ADOBE POA, INC.","Approx","Ground",93154.6898000017,-306253.4549,TRUE
"12",12,"1500494",72,"WILSON ROAD WATER COMMUNITY","Approx","Ground",98068.9521000013,-297762.5633,TRUE
"13",13,"1500521",39,"BOULDER CANYON WATER ASSOCIATION","Approx","Ground",136912.222800002,-266316.5901,TRUE
"14",14,"1500525",120,"LAKEVIEW RANCHOS MUTUAL WATER COMPANY","Approx","Ground",155187.611400001,-270016.3512,TRUE
"15",15,"1500540",80,"PINON HILL WATER COMPANY","Approx","Ground",149299.794300001,-312544.0381,TRUE
"16",16,"1500575",165,"SAN JOAQUIN ESTATES MUTUAL WATER COMPANY","Approx","Ground",98949.0062000006,-297433.9706,TRUE
