"","AGENCYNAME","SOURCE","AGENCYUNIQ","LASTMODIFI","MODIFIEDBY","SOURCECOMM","Date_Data_","Shape_STAr","Shape_STLe"
"0","Del Puerto Water District","SCRO",706,"2013/11/07","source",NA,"2013/11/07",222138099.053,295001.518753
"1","West Stanislaus Irrigation District","SCRO",2688,"2013/11/07","source",NA,"2013/11/07",87706643.0688,81511.7355467
"2","El Solyo Water District","SCRO",828,"2013/11/07","source",NA,"2013/11/07",16348650.4171,17308.6337617
"3","Oak Flat Water District","SCRO",1758,"2013/11/07","source","SWP contractor","2013/11/07",18231269.5595,41115.729112
"4","Patterson Water District","SCRO",1879,"2013/11/07","source",NA,"2013/11/07",52250223.6291,60221.799036
"5","Rock Creek Water District","SCRO",2098,"2013/11/07","source",NA,"2013/11/07",7460740.28022,17416.0993206
"6","Central California Irrigation District","SCRO",512,"2013/11/07","source",NA,"2013/11/07",609702409.942,668802.594048
"7","Turlock Irrigation District","SCRO",2525,"2013/11/07","source",NA,"2013/11/07",758132956.794,224466.244836
"8","Eastside Water District","SCRO",802,"2013/11/07","source",NA,"2013/11/07",247348630.63,152519.010128
"9","Banta - Carbona Irrigation District","SCRO",130,"2013/11/07","source",NA,"2013/11/07",67704607.6248,64864.5797004
"10","West Side Irrigation District","SCRO",2686,"2013/11/07","source",NA,"2013/11/07",25255448.3858,51306.1878985
"11","Sierra Water District","SCRO",2296,"2013/11/07","source",NA,"2013/11/07",57143785.2554,50762.8907069
"12","Merced Irrigation District","SCRO",1591,"2013/11/07","source",NA,"2013/11/07",628064679.63,397310.000648
"13","Grassland Water District","SCRO",1077,"2013/11/07","source",NA,"2013/11/07",211266325.414,159190.316778
"14","San Luis Water District","SCRO",2189,"2013/11/07","source",NA,"2013/11/07",259580360.732,248765.502962
"15","Santa Nella County Water District","SCRO",2221,"2013/11/07","source",NA,"2013/11/07",7125658.68322,21237.849125
"16","Lansdale Water District","SCRO",1379,"2013/11/07","source",NA,"2013/11/07",3052427.1989,9325.81129497
"17","Merquin County Water District","SCRO",1595,"2013/11/07","source",NA,"2013/11/07",45646508.2079,40883.9149158
"18","San Luis Canal Company","SCRO",2181,"2013/11/07","source",NA,"2013/11/07",190721177.57,125655.448897
"19","Laguna Water District","SCRO",1339,"2013/11/07","source",NA,"2013/11/07",1738481.09517,6672.02428581
"20","Panoche Water District","SCRO",1855,"2013/11/07","source",NA,"2013/11/07",161686901.609,71479.9214737
"21","Pacheco Water District","SCRO",1829,"2013/11/07","source",NA,"2013/11/07",19222767.2155,22677.1483483
"22","Eagle Field Water District","SCRO",772,"2013/11/07","source",NA,"2013/11/07",6065155.65929,10853.2714877
"23","Ballico-Cortez Water District","SCRO",127,"2013/11/07","source",NA,"2013/11/07",26863524.5134,49349.7441133
"24","Le Grand - Athlone Water District","SCRO",1403,"2013/11/07","source",NA,"2013/11/07",98955048.2977,65368.8739314
"25","Plainsburg Irrigation District","SCRO",1929,"2013/11/07","source",NA,"2013/11/07",20060369.6594,30449.0065029
"26","Chowchilla Water District","SCRO",550,"2013/11/07","source",NA,"2013/11/07",323009934.136,111718.713633
"27","Clayton Water District","SCRO",567,"2013/11/07","source",NA,"2013/11/07",16724304.3283,33663.7352621
"28","Columbia Canal Company","SCRO",597,"2013/11/07","source",NA,"2013/11/07",69102511.5674,87414.7914373
"29","Gravely Ford Water District","SCRO",1079,"2013/11/07","source",NA,"2013/11/07",33968320.1661,36098.5885273
"30","Root Creek Water District","SCRO",2106,"2013/11/07","source",NA,"2013/11/07",37603959.5614,41154.3428583
"31","Fresno Irrigation District","SCRO",961,"2013/11/07","source",NA,"2013/11/07",1002809899.67,355802.810138
"32","Stinson Water District","SCRO",2380,"2013/11/07","source",NA,"2013/11/07",43596190.6769,63181.0888986
"33","Pleasant Valley Community Water District","SCRO",1938,"2013/11/07","source",NA,"2013/11/07",153687445.321,123141.689963
"34","Tranquility Irrigation District","SCRO",2499,"2013/11/07","source",NA,"2013/11/07",43305066.3003,29309.5973846
"35","Mid-Valley Water District","SCRO",1606,"2013/11/07","source",NA,"2013/11/07",51636114.2161,41425.8827659
"36","Widren Water District","SCRO",2724,"2013/11/07","source",NA,"2013/11/07",3469356.07161,11606.1065486
"37","Firebaugh Canal Water District","SCRO",895,"2013/11/07","source",NA,"2013/11/07",94281945.3139,78649.0382638
"38","Mercy Springs Water District","SCRO",1592,"2013/11/07","source",NA,"2013/11/07",14605593.2502,21621.5068467
"39","Laguna Irrigation District","SCRO",1336,"2013/11/07","source",NA,"2013/11/07",148093952.263,78148.1689357
"40","Riverdale Irrigation District","SCRO",2076,"2013/11/07","source",NA,"2013/11/07",62748612.6876,40824.5240261
"41","Orange Cove Irrigation District","SCRO",1801,"2013/11/07","source",NA,"2013/11/07",118576228.522,150944.679061
